Station,Region,Latitude,Longitude,Name,City,State,Country
WBKS,asia,5.9,118.067,"Sandakan, Malaysia",Sandakan,, Malaysia
WBKW,asia,4.267,117.883,"Tawau, Malaysia",Tawau,, Malaysia
WIBB,asia,0.467,101.45,"Pekan Baru/simpangt, Indonesia",Pekan Baru/simpangt,, Indonesia
WIIA,asia,-6.233,106.65,"Curug/budiarto, Indonesia",Curug/budiarto,, Indonesia
WIIH,asia,-6.25,106.9,"Halim Intl(civ/mil), Indonesia",Halim Intl(civ/mil),, Indonesia
WIIT,asia,-5.1,105.183,"Tanjung Karang/radi, Indonesia",Tanjung Karang/radi,, Indonesia
WIKB,asia,1.117,104.117,"Batan- Sumatra, Indonesia",Batan- Sumatra,, Indonesia
WIKD,asia,-2.75,107.75,"Tanjung Pandan/bulu, Indonesia",Tanjung Pandan/bulu,, Indonesia
WIMB,asia,1.5,97.633,"Gunung Sitoli/binak, Indonesia",Gunung Sitoli/binak,, Indonesia
WIMM,asia,3.567,98.683,"Medan/polonia, Indonesia",Medan/polonia,, Indonesia
WIPA,asia,-1.633,103.65,"Jambi/sultan Taha, Indonesia",Jambi/sultan Taha,, Indonesia
WIPL,asia,-3.883,102.333,"Bengkulu/padang Kem, Indonesia",Bengkulu/padang Kem,, Indonesia
WITT,asia,5.517,95.417,"Banda Aceh/blang Bi, Indonesia",Banda Aceh/blang Bi,, Indonesia
WMBA,asia,4.217,100.7,"Sitiawan, Malaysia",Sitiawan,, Malaysia
WMKC,asia,6.167,102.283,"Kota Bharu, Malaysia",Kota Bharu,, Malaysia
WMKD,asia,3.783,103.217,"Kuantan, Malaysia",Kuantan,, Malaysia
WMKM,asia,2.267,102.25,"Malacca, Malaysia",Malacca,, Malaysia
WMKP,asia,5.3,100.267,"Penang/bayan Lepas, Malaysia",Penang/bayan Lepas,, Malaysia
WMSA,asia,3.117,101.55,"Kuala Lumpur Subang, Malaysia",Kuala Lumpur Subang,, Malaysia
WRBI,asia,-2.7,111.7,"Pangkalan Bun/iskan, Indonesia",Pangkalan Bun/iskan,, Indonesia
WRLL,asia,-1.267,116.9,"Balikpapan / Sepinggan, Indonesia",Balikpapan / Sepinggan,, Indonesia
WRLS,asia,-0.617,117.15,"Samarinda/temindung, Indonesia",Samarinda/temindung,, Indonesia
ZBAA,asia,39.933,116.283,"Beijing, China",Beijing,, China
ZBCD,asia,40.967,117.917,"Chengde, China",Chengde,, China
ZBCF,asia,42.3,118.833,"Chifeng, China",Chifeng,, China
ZBDS,asia,39.833,109.983,"Dongsheng, China",Dongsheng,, China
ZBDT,asia,40.1,113.333,"Datong, China",Datong,, China
ZBER,asia,43.65,112,"Erenhot, China",Erenhot,, China
ZBES,asia,47.167,119.933,"Arxan, China",Arxan,, China
ZBHH,asia,40.817,111.683,"Hohhot, China",Hohhot,, China
ZBLA,asia,49.25,119.7,"Hailar, China",Hailar,, China
ZBLL,asia,37.5,111.1,"Lishi, China",Lishi,, China
ZBLX,asia,43.6,118.067,"Linxi, China",Linxi,, China
ZBSJ,asia,38.283,114.683,"Zhengding, China",Zhengding,, China
ZBTJ,asia,39.117,117.333,"Binhai, China",Binhai,, China
ZBTL,asia,43.6,122.267,"Tongliao, China",Tongliao,, China
ZBTS,asia,39.65,118.1,"Tangshan, China",Tangshan,, China
ZBUC,asia,41.033,113.067,"Jining, China",Jining,, China
ZBXH,asia,43.95,116.117,"Xilin Hot, China",Xilin Hot,, China
ZBXT,asia,37.067,114.5,"Xingtai, China",Xingtai,, China
ZBYC,asia,35.05,111.05,"Yuncheng, China",Yuncheng,, China
ZBYN,asia,37.783,112.55,"Taiyuan, China",Taiyuan,, China
ZBYZ,asia,40.767,107.4,"Linhe, China",Linhe,, China
ZBZJ,asia,40.783,114.883,"Zhangjiakou, China",Zhangjiakou,, China
ZGBS,asia,23.9,106.6,"Baise, China",Baise,, China
ZGCD,asia,29.05,111.683,"Changde, China",Changde,, China
ZGCJ,asia,27.45,109.683,"Zhijiang, China",Zhijiang,, China
ZGCS,asia,28.2,113.083,"Changsha, China",Changsha,, China
ZGGG,asia,23.217,113.483,"Guangzhou, China",Guangzhou,, China
ZGHA,asia,28.233,112.867,"Changsha Huanghua, China",Changsha Huanghua,, China
ZGHC,asia,24.7,108.05,"Hechi, China",Hechi,, China
ZGHK,asia,20,110.25,"Haikou, China",Haikou,, China
ZGKL,asia,25.333,110.3,"Guilin, China",Guilin,, China
ZGLG,asia,26.233,111.617,"Lingling, China",Lingling,, China
ZGMX,asia,24.3,116.117,"Mei Xian, China",Mei Xian,, China
ZGNN,asia,22.633,108.217,"Nanning, China",Nanning,, China
ZGOW,asia,23.4,116.683,"Shantou, China",Shantou,, China
ZGSY,asia,26.733,110.633,"Wugang, China",Wugang,, China
ZGSZ,asia,22.55,114.1,"Shenzhen, China",Shenzhen,, China
ZGWZ,asia,23.483,111.3,"Wuzhou, China",Wuzhou,, China
ZGZH,asia,24.35,109.4,"Liuzhou, China",Liuzhou,, China
ZGZJ,asia,21.217,110.4,"Zhanjiang, China",Zhanjiang,, China
ZHAY,asia,36.05,114.4,"Anyang, China",Anyang,, China
ZHCC,asia,34.717,113.65,"Zhengzhou, China",Zhengzhou,, China
ZHES,asia,30.283,109.467,"Enshi, China",Enshi,, China
ZHHH,asia,30.6,114.05,"Wuhan, China",Wuhan,, China
ZHNY,asia,33.033,112.583,"Nanyang, China",Nanyang,, China
ZHXF,asia,32.15,112.667,"Zaoyang, China",Zaoyang,, China
ZHYC,asia,30.7,111.3,"Yichang, China",Yichang,, China
ZJHK,asia,19.933,110.45,"Meilan, China",Meilan,, China
ZKPY,asia,39.033,125.783,"Pyongyang, ""korea",Pyongyang,,North_Korea
ZLAK,asia,32.717,109.033,"Ankang, China",Ankang,, China
ZLAN,asia,36.117,103.617,"Lan-zhou/city, China",Lan-zhou/city,, China
ZLDH,asia,40.15,94.683,"Dunhuang, China",Dunhuang,, China
ZLDL,asia,37.367,97.367,"Delingha, China",Delingha,, China
ZLHX,asia,38.25,90.85,"Mangnai, China",Mangnai,, China
ZLHZ,asia,33.067,107.033,"Hanzhong, China",Hanzhong,, China
ZLIC,asia,38.467,106.2,"Yinchuan, China",Yinchuan,, China
ZLJQ,asia,39.767,98.483,"Jiuquan, China",Jiuquan,, China
ZLLL,asia,36.017,103.75,"Zhongchuan, China",Zhongchuan,, China
ZLLN,asia,33.4,104.917,"Wudu, China",Wudu,, China
ZLQY,asia,35.733,107.633,"Xifengzhen, China",Xifengzhen,, China
ZLXN,asia,36.617,101.767,"Xining, China",Xining,, China
ZLXY,asia,34.3,108.933,"Xian, China",Xian,, China
ZLYA,asia,36.6,109.5,"Yan An, China",Yan An,, China
ZLYL,asia,38.233,109.7,"Yulin, China",Yulin,, China
ZLYS,asia,33,96.967,"Yushu, China",Yushu,, China
ZLZW,asia,37.483,105.683,"Zhongning, China",Zhongning,, China
ZLZY,asia,39.083,100.283,"Zhangye, China",Zhangye,, China
ZMAH,asia,46.267,102.783,"Arvaiheer, Mongolia",Arvaiheer,, Mongolia
ZMAT,asia,46.4,96.25,"Altai, Mongolia",Altai,, Mongolia
ZMBH,asia,46.133,100.683,"Bayanhongor, Mongolia",Bayanhongor,, Mongolia
ZMBN,asia,48.8,103.55,"Bulgan, Mongolia",Bulgan,, Mongolia
ZMBU,asia,46.683,113.283,"Baruun-urt, Mongolia",Baruun-urt,, Mongolia
ZMCD,asia,48.083,114.55,"Choibalsan, Mongolia",Choibalsan,, Mongolia
ZMDZ,asia,43.583,104.417,"Dalanzadgad, Mongolia",Dalanzadgad,, Mongolia
ZMHG,asia,50.433,100.15,"Hatgal, Mongolia",Hatgal,, Mongolia
ZMHU,asia,46.9,102.767,"Hujirt, Mongolia",Hujirt,, Mongolia
ZMKD,asia,48.017,91.567,"Hovd, Mongolia",Hovd,, Mongolia
ZMMG,asia,45.767,106.283,"Mandalgobi, Mongolia",Mandalgobi,, Mongolia
ZMMN,asia,49.633,100.167,"Muren, Mongolia",Muren,, Mongolia
ZMSH,asia,44.9,110.117,"Sainshand, Mongolia",Sainshand,, Mongolia
ZMTG,asia,47.45,101.467,"Tsetserleg, Mongolia",Tsetserleg,, Mongolia
ZMUB,asia,47.917,106.867,"Ulaanbaatar, Mongolia",Ulaanbaatar,, Mongolia
ZMUG,asia,49.8,92.083,"Ulaangom, Mongolia",Ulaangom,, Mongolia
ZMUH,asia,47.317,110.633,"Underkhaan, Mongolia",Underkhaan,, Mongolia
ZPBS,asia,25.117,99.183,"Baoshan, China",Baoshan,, China
ZPDL,asia,25.7,100.183,"Dali, China",Dali,, China
ZPDQ,asia,28.45,98.883,"Deqen, China",Deqen,, China
ZPGM,asia,23.55,99.4,"Gengma, China",Gengma,, China
ZPJH,asia,22,100.783,"Jinghong, China",Jinghong,, China
ZPJM,asia,22.567,99.933,"Lancang, China",Lancang,, China
ZPLC,asia,23.95,100.217,"Lincang, China",Lincang,, China
ZPLJ,asia,26.833,100.467,"Lijing, China",Lijing,, China
ZPLX,asia,24.533,103.767,"Mang City, China",Mang City,, China
ZPPP,asia,25.017,102.683,"Kunming, China",Kunming,, China
ZPSM,asia,22.767,100.983,"Simao, China",Simao,, China
ZPYM,asia,25.733,101.867,"Yuanmou, China",Yuanmou,, China
ZPZT,asia,27.333,103.75,"Zhaotong, China",Zhaotong,, China
ZSAM,asia,24.483,118.083,"Xiamen, China",Xiamen,, China
ZSAQ,asia,30.533,117.05,"Anqing, China",Anqing,, China
ZSBB,asia,32.95,117.367,"Bengbu, China",Bengbu,, China
ZSCN,asia,28.6,115.917,"Nanchang, China",Nanchang,, China
ZSFY,asia,32.867,115.733,"Fuyang, China",Fuyang,, China
ZSFZ,asia,26.083,119.283,"Fuzhou, China",Fuzhou,, China
ZSGZ,asia,25.867,115,"Ganzhou, China",Ganzhou,, China
ZSHC,asia,30.233,120.167,"Hangzhou, China",Hangzhou,, China
ZSJA,asia,27.117,114.967,"Jian, China",Jian,, China
ZSJD,asia,29.3,117.2,"Jingdezhen, China",Jingdezhen,, China
ZSJN,asia,36.85,117.217,"Jinan, China",Jinan,, China
ZSNJ,asia,31.933,118.9,"Nanjing, China",Nanjing,, China
ZSOF,asia,31.867,117.233,"Hefei, China",Hefei,, China
ZSQD,asia,36.067,120.333,"Qingdao, China",Qingdao,, China
ZSRZ,asia,35.433,119.533,"Rizhao, China",Rizhao,, China
ZSSS,asia,31.167,121.433,"Shanghai/hongqiao, China",Shanghai/hongqiao,, China
ZSTN,asia,36.6,117.05,"Jinan, China",Jinan,, China
ZSWF,asia,36.767,119.183,"Weifang, China",Weifang,, China
ZSXZ,asia,34.283,117.15,"Xuzhou, China",Xuzhou,, China
ZSYC,asia,27.8,114.383,"Yichun, China",Yichun,, China
ZSYN,asia,33.767,120.25,"Sheyang, China",Sheyang,, China
ZSYT,asia,37.4,122.683,"Yantai, China",Yantai,, China
ZSZS,asia,29.934,122.362,"Zhoushan Airport, China",Zhoushan Airport,, China
ZUBJ,asia,27.3,105.233,"Bijie, China",Bijie,, China
ZUCK,asia,29.583,106.467,"Chongqing, China",Chongqing,, China
ZUDC,asia,29.05,100.3,"Daocheng, China",Daocheng,, China
ZUDX,asia,31.2,107.5,"Da Xian, China",Da Xian,, China
ZUGY,asia,26.583,106.733,"Guiyang, China",Guiyang,, China
ZUJZ,asia,32.65,103.567,"Songpan, China",Songpan,, China
ZUKD,asia,30.05,101.967,"Kangding, China",Kangding,, China
ZULP,asia,27.9,102.267,"Xichang, China",Xichang,, China
ZULS,asia,29.667,91.133,"Lhasa, China",Lhasa,, China
ZUMY,asia,31.45,104.733,"Mianyang, China",Mianyang,, China
ZUNC,asia,30.8,106.083,"Nanchong, China",Nanchong,, China
ZUNZ,asia,29.567,94.467,"Nyingchi, China",Nyingchi,, China
ZUTC,asia,25.117,98.483,"Tengchong, China",Tengchong,, China
ZUUU,asia,30.667,104.017,"Chengdu, China",Chengdu,, China
ZUXC,asia,26.65,102.25,"Qingshan, China",Qingshan,, China
ZUYB,asia,28.8,104.6,"Yibin, China",Yibin,, China
ZUZH,asia,26.65,102.25,"Huili, China",Huili,, China
ZWWW,asia,43.9,87.467,"Diwopu, China",Diwopu,, China
ZYCC,asia,43.9,125.217,"Changchun, China",Changchun,, China
ZYCY,asia,41.55,120.45,"Chaoyang, China",Chaoyang,, China
ZYDD,asia,40.05,124.333,"Dandong, China",Dandong,, China
ZYHB,asia,45.75,126.767,"Harbin, China",Harbin,, China
ZYHE,asia,50.25,127.45,"Aihui, China",Aihui,, China
ZYJM,asia,45.767,132.967,"Jiamusi, China",Jiamusi,, China
ZYJX,asia,45.283,130.949,"Jixi, China",Jixi,, China
ZYJZ,asia,41.133,121.117,"Jinzhou, China",Jinzhou,, China
ZYLD,asia,47.717,128.9,"Yichun, China",Yichun,, China
ZYMD,asia,44.567,129.6,"Mudanjiang, China",Mudanjiang,, China
ZYQQ,asia,47.383,123.917,"Qiqihar, China",Qiqihar,, China
ZYSQ,asia,45.083,124.867,"Qian Gorlos, China",Qian Gorlos,, China
ZYTL,asia,38.9,121.633,"Dalian, China",Dalian,, China
ZYTX,asia,41.633,123.483,"Taoxian, China",Taoxian,, China
ZYUB,asia,28.8,104.6,"Yibin, China",Yibin,, China
ZYYC,asia,27.8,114.383,"Yichuen, China",Yichuen,, China
ZYYJ,asia,42.867,129.5,"Yanji, China",Yanji,, China
ZYYK,asia,40.667,122.2,"Yingkou, China",Yingkou,, China
ZYYY,asia,41.733,123.517,"Shenyang, China",Shenyang,, China
